id_x,order_id,tariff_id_x,action_id,advcampaign_id,advcampaign_name,website_name,click_user_ip,click_user_referer,click_country_code,conversion_time,action,action_type,cart,status,processed,subid,subid1,subid2,subid3,subid4,payment_x,currency,keyword,comment,paid,promocode,click_date,action_date,closing_date,status_updated,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name
1054500157,FN3441503626_467262531004,6420,1054500157,15591,Ajio [CPS] IN,xocoupon,,,IN,176,Cost per sale,sale,1393,pending,0,,,,,,58.51,INR,,,0,,5/22/2024 13:46,5/22/2024 13:49,,5/22/2024 13:49,1255073275,7404,5/22/2024 13:49,1393,58.51,4.2,762616,TRUE,,,,,,
1054500123,FN3441503626_465733104007,6420,1054500123,15591,Ajio [CPS] IN,xocoupon,,,IN,138,Cost per sale,sale,429,pending,0,,,,,,18.02,INR,,,0,,5/22/2024 13:46,5/22/2024 13:48,,5/22/2024 13:48,1255073248,7404,5/22/2024 13:48,429,18.02,4.2,762616,TRUE,,,,,,
1054378065,15962.5985.1280323,28955,1054378065,30956,Pdffiller Many Geos,Real Pricetracker,,,AU,682,Sale,sale,,pending,0,tabm,,,,,0,USD,,,0,,5/22/2024 7:00,5/22/2024 7:12,,5/22/2024 7:33,1254800522,63584,5/22/2024 7:12,0,0,0,,FALSE,,,,,,
1054373445,126674042,5200,1054373445,14627,Flipkart [CPS] IN,Real Pricetracker,,https://www.flipkart.com/,IN,87,New Customer,sale,1599,pending,0,gmg,,,,,33.6,INR,,,0,,5/22/2024 6:04,5/22/2024 6:05,,5/22/2024 6:23,1254795505,5686,5/22/2024 6:05,1599,33.6,2.11,,TRUE,,,,,,
1054349057,1036.5985.776928,10448,1054349057,18239,Adorama WW,Real Pricetracker,,,US,767,Paid order ,sale,281.91,pending,0,tabm,,,,,5.64,EUR,,,0,,5/21/2024 23:51,5/22/2024 0:04,,5/22/2024 0:21,1254769906,13106,5/22/2024 0:04,281.91,5.64,2.01,,TRUE,,,,,,
1054260033,15962.5985.31004,28955,1054260033,30956,Pdffiller Many Geos,Real Pricetracker,,,AU,804,Sale,sale,,pending,0,,,,,,0,USD,,,0,,5/21/2024 11:55,5/21/2024 12:09,,5/21/2024 12:27,1254663440,63584,5/21/2024 12:09,0,0,0,,FALSE,,,,,,
1054061201,17980080YRDA5176ED,5306,1054061201,14719,Firstcry [CPS] IN,Real Pricetracker,,,IN,44,Paid order - Sale,sale,4269.63,pending,0,aab,,,,,35,INR,,,0,,5/20/2024 20:03,5/20/2024 20:03,,5/20/2024 20:03,1254287821,5981,5/20/2024 20:03,4269.63,35,35,281962,FALSE,,13830531,,,,
1053689068,126014530,5200,1053689068,14627,Flipkart [CPS] IN,Real Pricetracker,,,US,322,New Customer,sale,3599,pending,0,gmg,,,,,35,INR,,,0,,5/19/2024 9:46,5/19/2024 9:51,,5/19/2024 11:21,1253767523,5686,5/19/2024 9:51,3599,35,0.98,,TRUE,,,,,,
1054497814,gpt-1080373254|course|4802626,16622,1054497814,22448,Udemy WW,Real Pricetracker,,,JP,275,Paid course,sale,8.35,pending,0,tabm,,,,,0.67,USD,,,0,,5/19/2024 2:19,5/19/2024 2:24,,5/22/2024 13:24,1255070102,21660,5/19/2024 2:24,8.35,0.67,8.03,,TRUE,,,,,,
1054497835,gpt-1080336920|course|1223900,16622,1054497835,22448,Udemy WW,Real Pricetracker,,,PL,262,Paid course,sale,7.65,pending,0,tabm,,,,,0.61,USD,,,0,,5/18/2024 23:21,5/18/2024 23:26,,5/22/2024 13:24,1255070123,21660,5/18/2024 23:26,7.65,0.61,7.98,,TRUE,,,,,,
1054497903,gpt-1080288088|course|2776760,16622,1054497903,22448,Udemy WW,Real Pricetracker,,,BR,1289,Paid course,sale,4.88,pending,0,tabm,,,,,0.39,USD,,,0,,5/18/2024 20:05,5/18/2024 20:27,,5/22/2024 13:24,1255070193,21660,5/18/2024 20:27,4.88,0.39,8,,TRUE,,,,,,
1054497807,gpt-1080299656|course|1446232,16622,1054497807,22448,Udemy WW,Real Pricetracker,,,TR,-1446,Paid course,sale,4.04,pending,0,tabm,,,,,0.32,USD,,,0,,5/18/2024 20:47,5/18/2024 20:23,,5/22/2024 13:24,1255070097,21660,5/18/2024 20:23,4.04,0.32,7.93,,TRUE,,,,,,
1054497765,gpt-1080118460|course|1151632,16622,1054497765,22448,Udemy WW,Real Pricetracker,,,IN,-284,Paid course,sale,4.79,pending,0,avb,,,,,0.38,USD,,,0,,5/18/2024 10:48,5/18/2024 10:44,,5/22/2024 13:24,1255070053,21660,5/18/2024 10:44,4.79,0.38,7.94,,TRUE,,,,,,
1054275876,gpt-1079977620|course|3164478,16622,1054275876,22448,Udemy WW,Real Pricetracker,,,US,-135,Paid course,sale,11.3,pending,0,tabm,,,,,0.9,USD,,,0,,5/17/2024 23:35,5/17/2024 23:33,,5/21/2024 14:23,1254683043,21660,5/17/2024 23:33,11.3,0.9,7.97,,TRUE,,,,,,
1054275874,gpt-1079977620|course|1984658,16622,1054275874,22448,Udemy WW,Real Pricetracker,,,US,-135,Paid course,sale,15.83,pending,0,tabm,,,,,1.27,USD,,,0,,5/17/2024 23:35,5/17/2024 23:33,,5/21/2024 14:23,1254683041,21660,5/17/2024 23:33,15.83,1.27,8.03,,TRUE,,,,,,
1054275867,gpt-1079977620|course|4357532,16622,1054275867,22448,Udemy WW,Real Pricetracker,,,US,-135,Paid course,sale,11.3,pending,0,tabm,,,,,0.9,USD,,,0,,5/17/2024 23:35,5/17/2024 23:33,,5/21/2024 14:23,1254683037,21660,5/17/2024 23:33,11.3,0.9,7.97,,TRUE,,,,,,
1053364310,15962.5981.294402,28955,1053364310,30956,Pdffiller Many Geos,Real Pricetracker,,,SA,617,Sale,sale,,pending,0,tabm,,,,,0,USD,,,0,,5/17/2024 17:12,5/17/2024 17:22,,5/17/2024 17:36,1253183945,63584,5/17/2024 17:22,0,0,0,,FALSE,,,,,,
1053364843,125459469,5273,1053364843,14627,Flipkart [CPS] IN,Real Pricetracker,,,IN,159,Existing Customer,sale,1899,pending,0,gmg,,,,,53.2,INR,,,0,,5/17/2024 16:53,5/17/2024 16:56,,5/17/2024 17:37,1253184506,5792,5/17/2024 16:56,1899,53.2,2.81,,TRUE,,,,,,
1054268094,gpt-1079813690|course|1921420,16622,1054268094,22448,Udemy WW,Real Pricetracker,,,US,-1378,Paid course,sale,18.41,pending,0,tabm,,,,,1.48,USD,,,0,,5/17/2024 15:50,5/17/2024 15:28,,5/21/2024 13:23,1254673326,21660,5/17/2024 15:28,18.41,1.48,8.04,,TRUE,,,,,,
1054268084,gpt-1079813690|course|2196488,16622,1054268084,22448,Udemy WW,Real Pricetracker,,,US,-1378,Paid course,sale,14.96,pending,0,tabm,,,,,1.2,USD,,,0,,5/17/2024 15:50,5/17/2024 15:28,,5/21/2024 13:23,1254673316,21660,5/17/2024 15:28,14.96,1.2,8.03,,TRUE,,,,,,
1053332009,125424495,5273,1053332009,14627,Flipkart [CPS] IN,Real Pricetracker,,,IN,64,Existing Customer,sale,305,pending,0,gmg,,,,,8.4,INR,,,0,,5/17/2024 14:19,5/17/2024 14:20,,5/17/2024 14:29,1253130255,5792,5/17/2024 14:20,305,8.4,2.76,,TRUE,,,,,,
1053298349,2.11494E+17,14042,1053298349,20881,Alibaba WW,Real Pricetracker,,,DK,12,Paid order ,sale,14.99,pending,0,,,,,,0.75,USD,,,0,,5/17/2024 10:50,5/17/2024 10:50,,5/17/2024 10:50,1253076788,18192,5/17/2024 10:50,14.99,0.8,5.4,343578,TRUE,,,,,,
1054268169,gpt-1079614568|course|657932,16622,1054268169,22448,Udemy WW,Real Pricetracker,,,US,1922,Paid course,sale,16.99,pending,0,tabm,,,,,1.36,USD,,,0,,5/17/2024 3:59,5/17/2024 4:32,,5/21/2024 13:23,1254673404,21660,5/17/2024 4:32,16.99,1.36,8.01,,TRUE,,,,,,
1053974774,gpt-1079598574|course|2015076,16622,1053974774,22448,Udemy WW,Real Pricetracker,,,US,1003,Paid course,sale,11.99,pending,0,tabm,,,,,0.96,USD,,,0,,5/17/2024 2:17,5/17/2024 2:34,,5/20/2024 14:55,1254192982,21660,5/17/2024 2:34,11.99,0.96,8.01,,TRUE,,,,,,
1053974770,gpt-1079598574|course|5754052,16622,1053974770,22448,Udemy WW,Real Pricetracker,,,US,1003,Paid course,sale,9.99,pending,0,tabm,,,,,0.8,USD,,,0,,5/17/2024 2:17,5/17/2024 2:34,,5/20/2024 14:55,1254192978,21660,5/17/2024 2:34,9.99,0.8,8.01,,TRUE,,,,,,
1053974766,gpt-1079581546|course|3427440,16622,1053974766,22448,Udemy WW,Real Pricetracker,,,BR,2238,Paid course,sale,4.85,pending,0,tabm,,,,,0.39,USD,,,0,,5/17/2024 0:57,5/17/2024 1:35,,5/20/2024 14:55,1254192974,21660,5/17/2024 1:35,4.85,0.39,8.05,,TRUE,,,,,,
1053936470,gpt-1079400504|course|3213249,16622,1053936470,22448,Udemy WW,Real Pricetracker,,,PE,2539,Paid course,sale,9.37,pending,0,tabm,,,,,0.75,USD,,,0,,5/16/2024 16:54,5/16/2024 17:37,,5/20/2024 13:24,1254151545,21660,5/16/2024 17:37,9.37,0.75,8.01,,TRUE,,,,,,
1053126075,NYK-207902860-8192360,6528,1053126075,15667,Nykaa Beauty [CPS] IN,Real Pricetracker,,,IN,6,Sale,sale,959,pending,0,np,,,,,0,INR,,,0,,5/16/2024 17:03,5/16/2024 17:03,,5/16/2024 17:03,1252700119,48521,5/16/2024 17:03,959,0,0,708491,TRUE,,,,,,
1053936599,gpt-1079327480|course|3003490,16622,1053936599,22448,Udemy WW,Real Pricetracker,,,TW,1424,Paid course,sale,9.04,pending,0,tabm,,,,,0.72,USD,,,0,,5/16/2024 14:03,5/16/2024 14:27,,5/20/2024 13:24,1254151689,21660,5/16/2024 14:27,9.04,0.72,7.97,,TRUE,,,,,,
1053936584,gpt-1079327480|course|4915192,16622,1053936584,22448,Udemy WW,Real Pricetracker,,,TW,1424,Paid course,sale,9.04,pending,0,tabm,,,,,0.72,USD,,,0,,5/16/2024 14:03,5/16/2024 14:27,,5/20/2024 13:24,1254151674,21660,5/16/2024 14:27,9.04,0.72,7.97,,TRUE,,,,,,
1053936572,gpt-1079327480|course|518902,16622,1053936572,22448,Udemy WW,Real Pricetracker,,,TW,1424,Paid course,sale,9.04,pending,0,tabm,,,,,0.72,USD,,,0,,5/16/2024 14:03,5/16/2024 14:27,,5/20/2024 13:24,1254151660,21660,5/16/2024 14:27,9.04,0.72,7.97,,TRUE,,,,,,
1052959025,11068.5979.1204916,26066,1052959025,27697,Foot Locker US CA,Real Pricetracker,,,US,642,Paid order ,sale,65,pending,0,,,,,,1.3,USD,,,0,,5/16/2024 5:07,5/16/2024 5:18,,5/16/2024 5:37,1252385418,35937,5/16/2024 5:18,65,1.3,2,,TRUE,,,,,,
1053710070,gpt-1079104190|course|4651924,16622,1053710070,22448,Udemy WW,Real Pricetracker,,,MX,690,Paid course,sale,7.66,pending,0,tabm,,,,,0.61,USD,,,0,,5/16/2024 1:16,5/16/2024 1:28,,5/19/2024 14:24,1253794350,21660,5/16/2024 1:28,7.66,0.61,7.97,,TRUE,,,,,,
1053710067,gpt-1079104450|course|2597160,16622,1053710067,22448,Udemy WW,Real Pricetracker,,,FR,528,Paid course,sale,16.21,pending,0,tabm,,,,,1.3,USD,,,0,,5/16/2024 1:19,5/16/2024 1:28,,5/19/2024 14:24,1253794345,21660,5/16/2024 1:28,16.21,1.3,8.02,,TRUE,,,,,,
1053710075,gpt-1079100080|course|4810102,16622,1053710075,22448,Udemy WW,Real Pricetracker,,,US,-2031,Paid course,sale,10.5,pending,0,tabm,,,,,0.84,USD,,,0,,5/16/2024 0:58,5/16/2024 0:25,,5/19/2024 14:24,1253794354,21660,5/16/2024 0:25,10.5,0.84,8,,TRUE,,,,,,
1052930323,1GYZXPN9,15601,1052930323,21870,Radisson Hotel Group many GEOs,xocoupon,,,NL,75,Paid order Park Inn ,sale,322.6,pending,0,tabm,,,,,12.9,EUR,,,0,,5/15/2024 23:25,5/15/2024 23:26,,5/15/2024 23:26,1252354865,20302,5/15/2024 23:26,322.6,12.9,4,501908,TRUE,,TRISTKAV,,,,
1053703134,gpt-1078996476|course|1241098,16622,1053703134,22448,Udemy WW,Real Pricetracker,,,US,-1344,Paid course,sale,14.96,pending,0,tabm,,,,,1.2,USD,,,0,,5/15/2024 19:51,5/15/2024 19:29,,5/19/2024 13:24,1253785482,21660,5/15/2024 19:29,14.96,1.2,8.03,,TRUE,,,,,,
1053703098,gpt-1078959332|course|2980170,16622,1053703098,22448,Udemy WW,Real Pricetracker,,,TR,654,Paid course,sale,4.02,pending,0,avb,,,,,0.32,USD,,,0,,5/15/2024 18:24,5/15/2024 18:35,,5/19/2024 13:24,1253785448,21660,5/15/2024 18:35,4.02,0.32,7.97,,TRUE,,,,,,
1052838974,15962.5979.64570,28955,1052838974,30956,Pdffiller Many Geos,Real Pricetracker,,,US,2581776,Sale,sale,96,pending,0,tabm,,,,,40,USD,,,0,,4/15/2024 16:01,5/15/2024 13:11,,5/15/2024 13:34,1252249171,63584,5/15/2024 13:11,96,40,40,,FALSE,,,,,,
1053703262,gpt-1078828072|course|951050,16622,1053703262,22448,Udemy WW,Real Pricetracker,,,IN,-1825,Paid course,sale,4.78,pending,0,avb,,,,,0.38,USD,,,0,,5/15/2024 12:57,5/15/2024 12:27,,5/19/2024 13:24,1253785610,21660,5/15/2024 12:27,4.78,0.38,7.95,,TRUE,,,,,,
1052811961,15962.5978.1532361,28955,1052811961,30956,Pdffiller Many Geos,Real Pricetracker,,,IN,769,Sale,sale,,pending,0,aab,,,,,0,USD,,,0,,5/15/2024 9:59,5/15/2024 10:12,,5/15/2024 10:32,1252216078,63584,5/15/2024 10:12,0,0,0,,FALSE,,,,,,
1052811965,15962.5978.1532277,28955,1052811965,30956,Pdffiller Many Geos,Real Pricetracker,,,IN,764,Sale,sale,,pending,0,aab,,,,,0,USD,,,0,,5/15/2024 9:59,5/15/2024 10:12,,5/15/2024 10:32,1252216080,63584,5/15/2024 10:12,0,0,0,,FALSE,,,,,,
1052811960,15962.5978.1530239,28955,1052811960,30956,Pdffiller Many Geos,Real Pricetracker,,,IN,753,Sale,sale,,pending,0,aab,,,,,0,USD,,,0,,5/15/2024 9:59,5/15/2024 10:12,,5/15/2024 10:32,1252216077,63584,5/15/2024 10:12,0,0,0,,FALSE,,,,,,
1052809940,481608417,14275,1052809940,21029,Ancestry US CA UK AU DE,Real Pricetracker,,,AU,88,Conversion,sale,77.39,pending,0,tabm,,,,,2.76,USD,,,0,,5/15/2024 9:39,5/15/2024 9:41,,5/15/2024 10:22,1252213773,18508,5/15/2024 9:41,77.39,2.76,3.57,,TRUE,,,,,,
1053703336,gpt-1078696926|course|1168544,16622,1053703336,22448,Udemy WW,Real Pricetracker,,,PA,-426,Paid course,sale,9.99,pending,0,tabm,,,,,0.8,USD,,,0,,5/15/2024 6:40,5/15/2024 6:33,,5/19/2024 13:24,1253785687,21660,5/15/2024 6:33,9.99,0.8,8.01,,TRUE,,,,,,
1053703318,gpt-1078696926|course|980450,16622,1053703318,22448,Udemy WW,Real Pricetracker,,,PA,-426,Paid course,sale,9.99,pending,0,tabm,,,,,0.8,USD,,,0,,5/15/2024 6:40,5/15/2024 6:33,,5/19/2024 13:24,1253785667,21660,5/15/2024 6:33,9.99,0.8,8.01,,TRUE,,,,,,
1052707276,481591523,14275,1052707276,21029,Ancestry US CA UK AU DE,Real Pricetracker,,,US,89,Conversion,sale,,pending,0,tabm,,,,,0,USD,,,0,,5/15/2024 6:13,5/15/2024 6:15,,5/15/2024 7:22,1251976691,18508,5/15/2024 6:15,0,0,0,,TRUE,,,,,,
1053560661,gpt-1078615122|course|533682,16622,1053560661,22448,Udemy WW,Real Pricetracker,,,US,-528,Paid course,sale,15.76,pending,0,tabm,,,,,1.26,USD,,,0,,5/15/2024 0:38,5/15/2024 0:30,,5/18/2024 17:23,1253530021,21660,5/15/2024 0:30,15.76,1.26,8,,TRUE,,,,,,
1053560359,gpt-1078615122|course|2862626,16622,1053560359,22448,Udemy WW,Real Pricetracker,,,US,-528,Paid course,sale,10.5,pending,0,tabm,,,,,0.84,USD,,,0,,5/15/2024 0:38,5/15/2024 0:30,,5/18/2024 17:23,1253529717,21660,5/15/2024 0:30,10.5,0.84,8,,TRUE,,,,,,
1052635434,4405.5978.364867,16070,1052635434,22143,Norton [CPS] WW,xocoupon,,,GB,652,Sale,sale,20.92,pending,0,tabm,,,,,22.4,USD,,,0,,5/14/2024 18:47,5/14/2024 18:58,,5/14/2024 19:22,1251898063,25639,5/14/2024 18:58,20.92,22.4,22.4,,FALSE,,,,,,
1053560260,gpt-1078397418|course|5959558,16622,1053560260,22448,Udemy WW,Real Pricetracker,,,TR,334,Paid course,sale,7.75,pending,0,tabm,,,,,0.62,USD,,,0,,5/14/2024 16:27,5/14/2024 16:33,,5/18/2024 17:23,1253529621,21660,5/14/2024 16:33,7.75,0.62,8,,TRUE,,,,,,
1053560298,gpt-1078377494|course|1830530,16622,1053560298,22448,Udemy WW,Real Pricetracker,,,TR,-527,Paid course,sale,5.27,pending,0,tabm,,,,,0.42,USD,,,0,,5/14/2024 15:35,5/14/2024 15:27,,5/18/2024 17:23,1253529657,21660,5/14/2024 15:27,5.27,0.42,7.97,,TRUE,,,,,,
1052589539,15962.5978.70226,28955,1052589539,30956,Pdffiller Many Geos,Real Pricetracker,,,SA,624,Sale,sale,,pending,0,tabm,,,,,0,USD,,,0,,5/14/2024 13:12,5/14/2024 13:23,,5/14/2024 13:27,1251842468,63584,5/14/2024 13:23,0,0,0,,FALSE,,,,,,
1053560756,gpt-1078250176|course|857010,16622,1053560756,22448,Udemy WW,Real Pricetracker,,,PL,-1281,Paid course,sale,10.07,pending,0,tabm,,,,,0.8,USD,,,0,,5/14/2024 10:28,5/14/2024 10:07,,5/18/2024 17:23,1253530116,21660,5/14/2024 10:07,10.07,0.8,7.95,,TRUE,,,,,,
1053560636,gpt-1078250176|course|3291970,16622,1053560636,22448,Udemy WW,Real Pricetracker,,,PL,-1281,Paid course,sale,7.55,pending,0,tabm,,,,,0.6,USD,,,0,,5/14/2024 10:28,5/14/2024 10:07,,5/18/2024 17:23,1253530000,21660,5/14/2024 10:07,7.55,0.6,7.95,,TRUE,,,,,,
1053321071,gpt-1078091092|course|2069857,16622,1053321071,22448,Udemy WW,Real Pricetracker,,,AR,-294,Paid course,sale,13.99,pending,0,tabm,,,,,1.12,USD,,,0,,5/13/2024 23:32,5/13/2024 23:28,,5/17/2024 13:23,1253112088,21660,5/13/2024 23:28,13.99,1.12,8.01,,TRUE,,,,,,
1053321084,gpt-1078041122|course|4700236,16622,1053321084,22448,Udemy WW,Real Pricetracker,,,TR,-908,Paid course,sale,4.65,pending,0,tabm,,,,,0.37,USD,,,0,,5/13/2024 20:50,5/13/2024 20:35,,5/17/2024 13:23,1253112100,21660,5/13/2024 20:35,4.65,0.37,7.96,,TRUE,,,,,,
1052364017,15962.5977.380724,28955,1052364017,30956,Pdffiller Many Geos,Real Pricetracker,,,FR,1462,Sale,sale,,pending,0,,,,,,0,USD,,,0,,5/13/2024 19:00,5/13/2024 19:25,,5/13/2024 19:30,1251451093,63584,5/13/2024 19:25,0,0,0,,FALSE,,,,,,
1052364016,15962.5977.366178,28955,1052364016,30956,Pdffiller Many Geos,Real Pricetracker,,,US,1418,Sale,sale,,pending,0,tabm,,,,,0,USD,,,0,,5/13/2024 18:45,5/13/2024 19:09,,5/13/2024 19:30,1251451092,63584,5/13/2024 19:09,0,0,0,,FALSE,,,,,,
1053321065,gpt-1077899458|gift|7245716,16622,1053321065,22448,Udemy WW,Real Pricetracker,,,TR,-1332,Paid course,sale,4.03,pending,0,tabm,,,,,0.32,USD,,,0,,5/13/2024 13:56,5/13/2024 13:34,,5/17/2024 13:23,1253112083,21660,5/13/2024 13:34,4.03,0.32,7.95,,TRUE,,,,,,
1053320977,gpt-1077864494|course|3278440,16622,1053320977,22448,Udemy WW,Real Pricetracker,,,ES,-820,Paid course,sale,16.15,pending,0,tabm,,,,,1.29,USD,,,0,,5/13/2024 11:48,5/13/2024 11:35,,5/17/2024 13:23,1253111995,21660,5/13/2024 11:35,16.15,1.29,7.99,,TRUE,,,,,,
1052174292,11068.5976.1218281,26066,1052174292,27697,Foot Locker US CA,Real Pricetracker,,,US,589,Paid order ,sale,43.99,pending,0,,,,,,0.88,USD,,,0,,5/13/2024 7:08,5/13/2024 7:18,,5/13/2024 7:28,1251143728,35937,5/13/2024 7:18,43.99,0.88,2.01,,TRUE,,,,,,
1052174290,11068.5976.1194596,26066,1052174290,27697,Foot Locker US CA,Real Pricetracker,,,US,667,Paid order ,sale,49.99,pending,0,,,,,,1,USD,,,0,,5/13/2024 6:41,5/13/2024 6:52,,5/13/2024 7:28,1251143727,35937,5/13/2024 6:52,49.99,1,2.01,,TRUE,,,,,,
1052174288,11068.5976.1189553,26066,1052174288,27697,Foot Locker US CA,Real Pricetracker,,,US,706,Paid order ,sale,80,pending,0,,,,,,1.6,USD,,,0,,5/13/2024 6:32,5/13/2024 6:44,,5/13/2024 7:28,1251143724,35937,5/13/2024 6:44,80,1.6,2,,TRUE,,,,,,
1052174287,11068.5976.1182001,26066,1052174287,27697,Foot Locker US CA,Real Pricetracker,,,US,801,Paid order ,sale,115,pending,0,,,,,,0,USD,,,0,,5/13/2024 6:22,5/13/2024 6:36,,5/13/2024 7:28,1251143723,35937,5/13/2024 6:36,115,0,0,,TRUE,,,,,,
