CampaignName,Status,Payout,Amount,CustomerCity,CustomerRegion,CustomerCountry,CreationDate,Currency,Id,SubId1,Payout_INR
Airalo - The World's First eSIM Store,APPROVED,1.1,11,Nova Iguaçu,Rio de Janeiro,BR,1/2/2024,USD,15608.5845.152508,gmg,91.85
Wondershare Software,APPROVED,8.89,29.64,Rio de Janeiro,Rio de Janeiro,BR,1/6/2024,USD,15586.5849.973054,gmg,742.315
Airalo - The World's First eSIM Store,APPROVED,1,10,Shrewsbury,Massachusetts,US,1/9/2024,USD,15608.5852.367974,gmg,83.5
Wondershare Software,APPROVED,9,29.99,Queens,New York,US,1/9/2024,USD,15586.5852.545775,gmg,751.5
Hostinger,APPROVED,27.55,68.88,Feira de Santana,Bahia,BR,1/12/2024,USD,12282.5855.200384,gmg,2300.425
Airalo - The World's First eSIM Store,APPROVED,0.6,6,Ronda,Andalusia,ES,1/14/2024,USD,15608.5857.372596,gmg,50.1
Airalo - The World's First eSIM Store,APPROVED,0.6,6,Ronda,Andalusia,ES,1/14/2024,USD,15608.5857.382671,gmg,50.1
Airalo - The World's First eSIM Store,APPROVED,0.45,4.5,Ronda,Andalusia,ES,1/14/2024,USD,15608.5857.420504,gmg,37.575
Hostinger,APPROVED,15.72,39.3,Totana,Murcia,ES,1/16/2024,USD,12282.5858.1004297,gmg,1312.62
Hostinger,APPROVED,15.97,39.94,Juiz de Fora,Minas Gerais,BR,1/16/2024,USD,12282.5859.586146,gmg,1333.495
Hostinger,APPROVED,17.53,43.82,Guarulhos,Sao Paulo,BR,1/17/2024,USD,12282.5860.499035,gmg,1463.755
MacPaw,APPROVED,3.06,30.55,Guadalajara,Jalisco,MX,1/18/2024,USD,1733.5861.290975,fs,255.51
Hostinger,APPROVED,161.47,403.66,Gurugram,Haryana,IN,1/20/2024,USD,12282.5863.526126,5OeGY7jsA24KrYMsSrKb,13482.745
Airalo - The World's First eSIM Store,APPROVED,0.45,4.5,Palo Negro,Aragua,VE,1/28/2024,USD,15608.5870.1069432,gmg,37.575
Airalo - The World's First eSIM Store,APPROVED,0.85,8.5,Singapore,n/a,SG,1/28/2024,USD,15608.5870.1295792,gmg,70.975
ELEGOO,APPROVED,3.5,69.99,Sheffield,England,GB,1/29/2024,USD,19663.5871.988022,gmg,292.25
ELEGOO,REVERSED,0,0,Gelsenkirchen,North Rhine-Westphalia,DE,2/1/2024,USD,19663.5875.161743,gmg,0
ELEGOO,APPROVED,3.29,65.76,Gelsenkirchen,North Rhine-Westphalia,DE,2/4/2024,USD,19663.5878.731972,gmg,274.715
Surfshark,REVERSED,0,0,Baraki,Shizuoka,JP,2/6/2024,USD,9043.5880.175540,gmg,0
ELEGOO,APPROVED,4.6,91.5,Gelsenkirchen,North Rhine-Westphalia,DE,2/8/2024,USD,19663.5882.13215,gmg,384.1
Hostinger,APPROVED,65.3,163.24,Palhoca,Santa Catarina,BR,2/9/2024,USD,12282.5883.243508,gmg,5452.55
ELEGOO,REVERSED,0,0,Bigues i Riells,Catalonia,ES,2/12/2024,USD,19663.5885.1496226,gmg,0
Hostinger,APPROVED,43.1,107.76,Winfield,West Virginia,US,2/12/2024,USD,12282.5885.1510410,gmg,3598.85
Wondershare Software,APPROVED,0,0,Odivelas,Lisbon,PT,2/13/2024,USD,15586.5887.605527,gmg,0
Wondershare Software,APPROVED,9,29.99,Afton,Virginia,US,2/16/2024,USD,15586.5889.923579,gmg,751.5
Spocket,APPROVED,0,0,Jaipur,Rajasthan,IN,2/16/2024,USD,18571.5889.1284183,gmg,0
Spocket,APPROVED,0,0,Jaipur,Rajasthan,IN,2/16/2024,USD,18571.5889.1285550,gmg,0
Spocket,APPROVED,0,0,Jaipur,Rajasthan,IN,2/16/2024,USD,18571.5889.1284497,gmg,0
Spocket,APPROVED,0,0,Jaipur,Rajasthan,IN,2/16/2024,USD,18571.5890.116941,gmg,0
Spocket,APPROVED,0,0,Jaipur,Rajasthan,IN,2/16/2024,USD,18571.5890.116969,gmg,0
Wondershare Software,APPROVED,16.49,54.94,Parkville,Maryland,US,2/20/2024,USD,15586.5894.611647,gmg,1376.915
Wondershare Software,APPROVED,10.63,35.43,Delhi,National Capital Territory of Delhi,IN,2/22/2024,USD,15586.5896.143176,fs,887.605
ELEGOO,REVERSED,0,0,Murcia,Murcia,ES,2/24/2024,USD,19663.5898.598328,gmg,0
Wondershare Software,APPROVED,21,69.99,Oklahoma City,Oklahoma,US,2/26/2024,USD,15586.5900.466349,gmg,1753.5
ELEGOO,REVERSED,0,0,Lünen,North Rhine-Westphalia,DE,2/29/2024,USD,19663.5903.228902,gmg,0
Hostinger,APPROVED,56.11,140.29,Jaipur,Rajasthan,IN,3/2/2024,USD,12282.5904.1653528,dyeCTkQvA7q7cyzChIkp,4685.185
Surfshark,APPROVED,21.25,53.13,Créteil,Île-de-France,FR,3/7/2024,USD,9043.5909.1072551,gmg,1774.375
ELEGOO,APPROVED,17.02,340.3,Lausanne,Vaud,CH,4/7/2024,USD,19663.5941.412343,gmg,1421.17
MacPaw,APPROVED,7.2,71.96,Buraidah,Al-Qassim Region,SA,4/11/2024,USD,1733.5944.970057,fs,601.2
Hostinger,PENDING,15.29,38.23,Barcelona,Catalonia,ES,4/23/2024,USD,12282.5957.127760,gmg,1276.715
ELEGOO,APPROVED,3.85,77.01,Granollers,Catalonia,ES,4/25/2024,USD,19663.5959.147030,gmg,321.475
ELEGOO,REVERSED,0,0,Mont-Saint-Martin,Grand Est,FR,4/29/2024,USD,19663.5963.179337,gmg,0
Lenovo India,PENDING,59.63,851.86,Dhanbad,Jharkhand,IN,5/12/2024,USD,9634.5976.252090,dykKX3Sm1GjFCXRSQxwh,4979.105
